Aug 2020,Aug 2019,Change,Language,Ratings,Change,Rating,Source
1,2,change,C,16.98%,+1.83%,16.98,https://www.tiobe.com/
2,1,,Java,14.43%,-1.60%,14.43,https://www.tiobe.com/
3,3,,Python,9.69%,-0.33%,9.69,https://www.tiobe.com/
4,4,,C++,6.84%,+0.78%,6.84,https://www.tiobe.com/
5,5,,C#,4.68%,+0.83%,4.68,https://www.tiobe.com/
6,6,,Visual Basic,4.66%,+0.97%,4.66,https://www.tiobe.com/
7,7,,JavaScript,2.87%,+0.62%,2.87,https://www.tiobe.com/
8,20,,R,2.79%,+1.97%,2.79,https://www.tiobe.com/
9,8,,PHP,2.24%,+0.17%,2.24,https://www.tiobe.com/
10,10,,SQL,1.46%,-0.17%,1.46,https://www.tiobe.com/
